lokacija,broj_soba,kvadratura,sprat,novogradnja,centralno_grejanje,lift,parking,uknjizen,stanje,cena,klasa,adresa,latitude,longitude
Žarkovo,2,60,P,NA,NE,NA,NA,NA,2,998.3333333,.9-1.1K,"Žarkovo, Beograd, Srbija",44.7594261,20.4137684
"Bežanijska kosa, Blokovi",2,51,V+,NA,DA,DA,DA,DA,1,998.0392157,.9-1.1K,"Bežanijska kosa, Blokovi, Beograd, Srbija",44.817451,20.376588
Kanarevo brdo,2,50,I-II,NE,DA,NA,NE,NA,1,998,.9-1.1K,"Kanarevo brdo, Beograd, Srbija",44.7521754,20.4553526
Konjarnik,2,43,I-II,DA,NE,NA,NA,DA,NA,997.6744186,.9-1.1K,"Konjarnik, Beograd, Srbija",44.7841755,20.5055572
Petlovo brdo,1,35,P,NE,DA,NA,NA,DA,1,997.1428571,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
Žarkovo,3,90,I-II,NA,NE,NA,NA,DA,NA,994.4444444,.9-1.1K,"Žarkovo, Beograd, Srbija",44.7594261,20.4137684
"Zemun, Nova Galenika",3,64,V+,NA,DA,NA,NA,DA,1,992.1875,.9-1.1K,"Zemun, Nova Galenika, Beograd, Srbija",44.8574855,20.3699834
Karaburma,2,63,I-II,NA,NE,NA,NA,DA,1,992.0634921,.9-1.1K,"Karaburma, Beograd, Srbija",44.8130704,20.5125638
Petlovo brdo,3,97,III-IV,NE,DA,DA,NA,DA,NA,989.6907216,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
"Zemun, Save Kovacevica",3,96,I-II,DA,DA,NA,DA,NA,2,989.5833333,.9-1.1K,"Zemun, Save Kovacevica, Beograd, Srbija",44.845039,20.392928
Labudovo brdo,4,94,I-II,NE,NA,NA,DA,DA,2,989.3617021,.9-1.1K,"Labudovo brdo, Beograd, Srbija",44.728355,20.4245747
Karaburma,4,90,I-II,NA,DA,NA,NA,NA,2,988.8888889,.9-1.1K,"Karaburma, Beograd, Srbija",44.8130704,20.5125638
Cerak,3,88,P,NE,DA,DA,NA,DA,1,988.6363636,.9-1.1K,"Cerak, Beograd, Srbija",44.7508222,20.4177298
"Zemun, Save Kovacevica",3,86,I-II,DA,NE,NE,DA,NA,2,988.372093,.9-1.1K,"Zemun, Save Kovacevica, Beograd, Srbija",44.845039,20.392928
Košutnjak,4,83,III-IV,NE,DA,NA,NA,DA,1,987.9518072,.9-1.1K,"Košutnjak, Beograd, Srbija",44.76675535,20.4326642
