lokacija,broj_soba,kvadratura,sprat,novogradnja,centralno_grejanje,lift,parking,uknjizen,stanje,cena,klasa,adresa,latitude,longitude
Petlovo brdo,2,58,I-II,DA,NE,NA,NA,DA,1,948.2758621,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
Žarkovo,1,29,P,NA,NE,NA,NA,NA,NA,948.2758621,.9-1.1K,"Žarkovo, Beograd, Srbija",44.7594261,20.4137684
Višnjicka banja,2,48,III-IV,NA,DA,NA,NA,DA,0,947.9166667,.9-1.1K,"Višnjicka banja, Beograd, Srbija",44.8203945,20.5355783
Krnjaca,3,47,I-II,DA,NE,NE,DA,NA,2,946.8085106,.9-1.1K,"Krnjaca, Beograd, Srbija",44.8445152,20.4890986
Rakovica,2,56,I-II,NA,NE,NA,NA,NE,2,946.4285714,.9-1.1K,"Rakovica, Beograd, Srbija",44.7463363,20.4403105
Bele Vode,3,65,III-IV,DA,DA,NA,NA,NA,1,946.1538462,.9-1.1K,"Bele Vode, Beograd, Srbija",44.7504778,20.4060418
Filmski grad,4,102,I-II,NE,NE,NA,DA,NE,0,946.0784314,.9-1.1K,"Filmski grad, Beograd, Srbija",44.7510004,20.4322005
Mirijevo 1,2,37,I-II,DA,NE,NA,NA,NA,2,945.9459459,.9-1.1K,"Mirijevo 1, Beograd, Srbija",44.7944854,20.527983
Kanarevo brdo,2,55,P,NE,DA,NA,NE,DA,1,945.4545455,.9-1.1K,"Kanarevo brdo, Beograd, Srbija",44.7521754,20.4553526
Bele Vode,1,20,I-II,NA,NE,NA,NA,DA,1,945,.9-1.1K,"Bele Vode, Beograd, Srbija",44.7504778,20.4060418
