"","X","Y"
"1",7438634.35526361,4955023.18999234
"2",7438693.94589113,4954894.62955928
"3",7438730.89696396,4954849.83551215
"4",7438744.52832884,4954817.70767298
"5",7438803.44899621,4954751.37268306
"6",7438715.62371563,4954577.11116154
"7",7438634.64868063,4954656.10120617
"8",7438538.12755389,4954765.46123715
"9",7438469.27836568,4954853.22571256
"10",7438634.35526361,4955023.18999234
