"","X","Y"
"1",7439946.08443742,4956465.12950348
"2",7440111.51663245,4956410.2540744
"3",7440185.37545701,4956383.78934126
"4",7440119.4047436,4956305.29896606
"5",7440045.29859908,4956237.55114997
"6",7439909.81532075,4956109.04944311
"7",7439899.36451281,4956142.92269837
"8",7439891.0635539,4956203.44064174
"9",7439864.92933611,4956253.45973936
"10",7439864.1622723,4956306.79653898
"11",7439877.46170321,4956374.22279267
"12",7439905.20246001,4956428.18143524
"13",7439946.08443742,4956465.12950348
